"TERM","GENE"
"GO:0022613","NAT10"
"GO:0000375","ATRX"
"GO:0008380","DDX46"
"GO:0000377","HMGB1P1"
"GO:0000398","SELENOI"
"GO:0022618","RPL37A"
"GO:0006401","FUT8"
"GO:0071826","PDIA3"
"GO:0006402","PPAN"
"GO:0071103","KRT19"
"GO:0006614","CLIC1"
"GO:0006413","NDUFA4"
"GO:0006613","IRS4"
"GO:0045047","SETD1A"
"GO:0072599","LAMA5"
"GO:0006457","CASC3"
"GO:1903311","MRPS12"
"GO:0000184","DHX15"
"GO:0042254","KIF1C"
"GO:0070972","CCNT1"
"GO:0009161","ALOX12B"
"GO:0009167","NDUFS3"
"GO:0009199","NPM3"
"GO:0009126","SURF6"
"GO:0009123","GPX5"
"GO:0000956","ZMPSTE24"
"GO:0090150","SMNDC1"
"GO:0009141","LUC7L3"
"GO:0050684","MT-CO2"
"GO:0006612","SOD1"
"GO:0009205","MT-ATP6"
"GO:0046034","CA2"
"GO:0042026","IGHA1"
"GO:0006333","CAT"
"GO:0031497","CSTB"
"GO:0006323","KRT6B"
"GO:0009124","S100A8"
"GO:0009144","RPLP1"
"GO:0009127","S100A9"
"GO:0009168","COL4A2"
"GO:0009156","HIST1H1E"
"GO:0009260","HSPA5"
"GO:0006090","LAMC1"
"GO:0046390","PCNA"
"GO:0006734","PIP"
"GO:0006735","EEF2"
"GO:0061621","PDIA4"
"GO:0061718","MIF"
"GO:0009408","AKR1A1"
"GO:0006007","HIST1H1D"
"GO:0006334","DES"
"GO:0009201","SON"
"GO:0061615","EIF2S2"
"GO:0061620","PSMB1"
"GO:0009150","HIST1H1T"
"GO:0048024","PPIB"
"GO:0009165","RRM1"
"GO:1901293","RPS12"
"GO:0006605","DDX6"
"GO:0009142","CALML3"
"GO:0072522","CALR"
"GO:0009152","PSMB6"
"GO:0043484","PRDX6"
"GO:0034728","PEBP1"
"GO:0006754","UQCRC1"
"GO:0034605","CASP14"
"GO:0019674","GBP1"
"GO:0006164","COIL"
"GO:0042273","GARS"
"GO:0042255","RPL29"
"GO:0006096","UQCRFS1"
"GO:0006757","RPL34"
"GO:0032392","HNRNPA3"
"GO:0009206","HNRNPF"
"GO:0009145","SUB1"
"GO:0065004","YWHAG"
"GO:0042866","SNRPF"
"GO:0016072","RPS25"
"GO:0000027","RPL10A"
"GO:0099132","MRPS9"
"GO:0000245","HSPG2"
"GO:0046031","SLC7A5"
"GO:0034404","CYP27A1"
"GO:0006986","EEF1A2"
"GO:0071824","TGM3"
"GO:0009435","AHNAK"
"GO:0000380","CPSF1"
"GO:0006364","CDC20"
"GO:0019320","HNRNPA0"
"GO:0009266","TTLL12"
"GO:0019362","MCM6"
"GO:0046496","BMS1"
"GO:0031123","MBTPS1"
"GO:0043312","RRS1"
"GO:0006165","PCBP1"
"GO:0002283","PUM3"
"GO:0006403","CST6"
"GO:0019359","TWISTNB"
"GO:0019363","CDCA8"
"GO:0072524","ASPRV1"
"GO:0090084","ACTBL2"
"GO:0046939","HSP90AB2P"
"GO:0009108","NOM1"
"GO:0072525","NOL9"
"GO:0015931","KPRP"
"GO:0042119","SRSF11"
"GO:0009135","HIST2H3PS2"
"GO:0009179","TAF3"
"GO:0002446","ARL6IP4"
"GO:0006458","MRPL14"
"GO:0009166","PLBD1"
"GO:0035966","SBSN"
"GO:0009185","NCCRP1"
"GO:0033119","PHF5A"
"GO:1901292","NUFIP2"
"GO:0006733","CENPV"
"GO:0046365","SERPINA12"
"GO:0034248","WDR75"
"GO:0000381","C1orf174"
"GO:0046394","PRPF38A"
"GO:0016053","SDR9C7"
"GO:0006732","BOD1L1"
"GO:0032781","SNIP1"
"GO:0016052","ENOX1"
"GO:0006006","STT3B"
"GO:0048025","BRIX1"
"GO:0051169","DTD1"
"GO:0006417","GEMIN5"
"GO:0031124","NOC3L"
"GO:0006091","PPIL4"
"GO:0050686","TMEM263"
"GO:0051168","GATAD1"
"GO:0061077","DNAJC9"
"GO:0050657","H1FX"
"GO:0050658","NUP205"
"GO:0015991","LRRC59"
"GO:0006094","KCTD12"
"GO:0051236","ZNF512B"
"GO:0009132","PPP1R10"
"GO:0051085","SPEN"
"GO:0006913","CDC5L"
"GO:0090083","TM9SF2"
"GO:0019319","GPATCH1"
"GO:0051188","LLPH"
"GO:0099131","TMEM109"
"GO:0050821","MRPL32"
"GO:0043462","SENP3"
"GO:0006405","LRRC40"
"GO:0090662","RPF1"
"GO:0032508","CBX8"
"GO:0015988","S100A14"
"GO:0033044","JPH1"
"GO:0046364","UTP3"
"GO:2001251","TOMM22"
"GO:0051084","MRGBP"
"GO:1903312","GNL3L"
"GO:0046112","PAK1IP1"
"GO:0046434","AURKAIP1"
"GO:0051052","CALML5"
"GO:0051028","RCC2"
"GO:0045815","NDUFA12"
"GO:0030007","RAB21"
"GO:0019318","L1RE1"
"GO:0031647","SMC3"
"GO:0030048","SCML2"
"GO:0006979","ASF1A"
"GO:0010248","DRG1"
"GO:0036376","THRAP3"
"GO:0060249","RRP7A"
"GO:0070841","CFAP20"
"GO:0006342","NSRP1"
"GO:0051702","SERPINB6"
"GO:0045814","SERPINB8"
"GO:0006611","HDLBP"
"GO:1902600","ELOF1"
"GO:0071426","ELOA"
"GO:0071166","HM13"
"GO:0006541","NOSIP"
"GO:0034470","BCORL1"
"GO:0032200","HELZ"
"GO:0072330","TAF15"
"GO:0006883","DCAF13"
"GO:0008637","TTR"
"GO:0000723","EIF2B4"
"GO:0043487","KHSRP"
"GO:0006406","PABPC1"
"GO:0071427","PABPC3"
"GO:0005996","PABPC1L"
"GO:2001252","PABPC4"
"GO:0006376","PABPC5"
"GO:0070252","UHRF1"
"GO:0031936","IGLL5"
"GO:0044282","IGLC1"
"GO:0010639","MAGT1"
"GO:0010833","POLA1"
"GO:0031935","SPCS2"
"GO:0043488","OSTC"
"GO:0048524","RBMX2"
"GO:0006520","HNRNPDL"
"GO:0045727","PSMB3"
"GO:0006936","RPS24"
"GO:0061013","EIF5B"
"GO:1900034","IGHG1"
"GO:0051054","IGHV3-21"
"GO:1901605","IGHV3-53"
"GO:1903902","IGHV3OR16-10"
"GO:0000302","IGHV3-20"
"GO:0035722","IGHV3-43"
"GO:0051851","MKI67"
"GO:0009112","NOP2"
"GO:0060969","CLTC"
"GO:0044794","CLTCL1"
"GO:0002181","RRBP1"
"GO:0002576","GPR89B"
"GO:0071478","GPR89A"
"GO:0051972","RBM15"
"GO:0061337","RSBN1"
"GO:0009064","EMG1"
"GO:0033120","ZCCHC17"
"GO:0051973","RPL17"
"GO:0006941","RPL17-C18orf32"
"GO:0071349","YTHDF2"
"GO:0009314","YTHDF3"
"GO:0016584","YTHDF1"
"GO:0070671","DACH1"
"GO:0034620","DACH2"
